,Delay,Power
0,6.4333e-10,1.48146e-05
1,2.29207e-09,1.57548e-05
2,5.03139e-11,4.12671e-06
3,1.7188e-09,8.25192e-06
4,2.35442e-09,7.26942e-06
5,5.14679e-10,6.12082e-06
6,2.54882e-11,2.81513e-06
7,1.23279e-09,1.64881e-05
8,4.66537e-10,4.51525e-06
9,3.75229e-11,4.13722e-06
10,1.40259e-09,1.35936e-05
11,1.07792e-08,5.60415e-06
12,8.97412e-11,4.87171e-06
13,7.82026e-10,1.16569e-05
14,2.37056e-10,8.08862e-06
15,4.69432e-10,1.06577e-05
16,5.37416e-10,1.68532e-05
17,1.89564e-09,9.50075e-06
18,5.82105e-10,2.2455e-05
19,1.72927e-09,5.09661e-06
20,6.19142e-10,3.58154e-06
21,1.57116e-09,1.79995e-05
22,1.00371e-09,1.79539e-05
23,1.61301e-09,6.29169e-06
24,7.99507e-10,1.33744e-05
25,1.45357e-09,9.7434e-06
26,1.49344e-09,1.35004e-05
27,1.95359e-10,1.46524e-05
28,3.80834e-11,3.1338e-06
29,5.31593e-10,1.74169e-05
30,3.20453e-10,7.59487e-06
31,2.35952e-09,7.66919e-06
32,3.74348e-10,9.45271e-06
33,2.3387e-10,1.23572e-05
34,7.96813e-10,9.55731e-06
35,1.0891e-09,1.67947e-05
36,4.47693e-09,8.50037e-06
37,1.6539e-10,1.35109e-05
38,1.03351e-10,1.00796e-05
39,2.30534e-09,8.49004e-06
40,2.90256e-10,1.02333e-05
41,1.99815e-09,7.77889e-06
42,2.61741e-09,9.65678e-06
43,1.74054e-10,4.53453e-06
44,7.25901e-10,4.85105e-06
45,5.2688e-09,1.1157e-05
46,8.29222e-10,6.6779e-06
47,2.97313e-11,5.4803e-06
48,4.01627e-09,6.71822e-06
49,7.53042e-10,1.45485e-05
50,7.76023e-10,2.16745e-06
51,3.34239e-10,1.14592e-05
52,1.75237e-09,5.47318e-06
53,6.75107e-09,7.76355e-06
54,9.39011e-10,8.8224e-06
55,1.35745e-09,9.13812e-06
56,1.76058e-10,4.56435e-06
57,7.59896e-10,1.29351e-05
58,3.89271e-10,7.53771e-06
59,9.16063e-10,1.043e-05
60,5.39935e-10,1.01075e-05
61,2.01588e-09,1.13564e-05
62,1.56343e-09,6.05164e-06
63,9.45566e-10,1.95413e-05
64,1.32223e-09,1.29089e-05
65,2.78758e-09,6.5181e-06
66,1.50328e-09,1.74124e-05
67,3.45707e-10,2.46749e-06
68,6.46572e-10,1.55264e-05
69,7.44455e-10,1.71836e-05
70,7.23389e-10,2.19169e-05
71,9.78318e-10,9.44967e-06
72,2.5211e-10,7.6696e-06
73,2.849e-10,8.30127e-06
74,3.41219e-09,5.78935e-06
75,2.27311e-09,9.64175e-06
76,1.06586e-09,9.253e-06
77,8.28841e-10,1.56156e-05
78,8.93887e-10,5.81e-06
79,9.21283e-11,3.88944e-06
80,3.51604e-10,1.50175e-05
81,3.08596e-09,1.30952e-05
82,1.04564e-09,1.04987e-05
83,1.76838e-09,4.49608e-06
84,2.26965e-09,4.20893e-06
85,1.63743e-10,4.93985e-06
86,7.62876e-10,1.29038e-05
87,2.97748e-10,4.78637e-06
88,1.10051e-09,3.45084e-06
89,1.79121e-09,2.24467e-05
90,1.97065e-09,1.03165e-05
91,7.23985e-10,4.69835e-06
92,1.90409e-10,7.33981e-06
93,6.51975e-10,1.09335e-05
94,5.21855e-10,7.99478e-06
95,9.57622e-10,8.26245e-06
96,1.11767e-10,1.34679e-06
97,7.89169e-10,1.02805e-05
98,3.52215e-09,5.55165e-06
99,5.70144e-10,2.91965e-06
100,5.98305e-09,6.646e-06
101,1.15264e-10,1.07841e-05
102,4.07807e-10,8.11913e-06
103,8.65563e-10,1.13151e-05
104,6.31303e-11,3.37693e-06
105,3.48694e-10,1.57157e-05
106,8.10007e-10,9.16387e-06
107,1.17237e-09,8.05719e-06
108,1.31291e-09,9.27562e-06
109,1.09675e-09,2.56017e-06
110,6.52754e-09,8.92782e-06
111,2.41654e-10,4.72193e-06
112,5.34257e-10,8.00118e-06
113,1.02539e-09,1.26852e-05
114,1.1937e-08,1.06628e-05
115,1.03291e-09,2.18772e-05
116,2.64847e-10,2.84025e-06
117,1.05925e-10,8.52167e-06
118,4.49905e-10,8.83359e-06
119,3.6026e-10,8.6051e-06
120,3.92561e-10,1.329e-05
121,6.17072e-10,5.75204e-06
122,6.72213e-09,7.01276e-06
123,4.67764e-10,7.63298e-06
124,3.90781e-11,5.20234e-06
125,4.17953e-10,1.12667e-05
126,7.36451e-09,3.06688e-06
127,7.49456e-10,1.12623e-05
128,2.86902e-10,6.07525e-06
129,1.06624e-08,1.72863e-05
130,9.19152e-10,8.44303e-06
131,4.08785e-10,2.12384e-05
132,1.37322e-10,3.37964e-06
133,2.14009e-09,8.06704e-06
134,1.05967e-09,6.02844e-06
135,2.52787e-10,6.16679e-06
136,6.46053e-10,9.3633e-06
137,1.40857e-10,3.81697e-06
138,1.37846e-09,1.08721e-05
139,4.07431e-09,7.18187e-06
140,2.61836e-09,1.28341e-05
141,1.77898e-09,7.02762e-06
142,2.70511e-10,8.36232e-06
143,1.68956e-10,1.33965e-06
144,1.08464e-09,1.1507e-05
145,1.21418e-09,1.11313e-05
146,6.37933e-10,2.54871e-05
147,8.77359e-10,1.75438e-05
148,2.84911e-10,4.5764e-06
149,2.47863e-10,4.49371e-06
150,4.98464e-09,7.01363e-06
151,1.29994e-09,1.49912e-05
152,4.2733e-10,6.07663e-06
153,4.04501e-10,1.35902e-05
154,4.41281e-09,6.36453e-06
155,9.47446e-10,1.06882e-05
156,1.40354e-10,3.02948e-06
157,1.39212e-09,1.10181e-05
158,2.254e-09,1.05514e-05
159,7.45089e-10,7.2696e-06
160,1.0204e-09,8.93826e-06
161,3.45552e-10,4.84425e-06
162,5.44862e-10,8.37289e-06
163,1.00553e-09,1.40795e-05
164,2.49245e-09,9.56593e-06
165,5.00933e-10,4.54927e-06
166,1.32998e-09,1.50367e-05
167,1.04e-09,1.42057e-05
168,3.81439e-10,1.35092e-05
169,1.34343e-09,1.71604e-05
170,9.94302e-10,1.2836e-05
171,3.71013e-10,8.36453e-06
172,5.57633e-10,1.42322e-05
173,2.72634e-09,8.23694e-06
174,1.246e-09,6.87639e-06
175,1.42127e-09,8.38962e-06
176,7.93055e-10,1.47235e-05
177,6.07521e-10,1.87383e-05
178,7.51123e-10,1.61131e-05
179,9.79815e-10,1.02979e-05
180,7.50055e-10,1.14389e-05
181,5.63011e-10,1.23421e-05
182,5.15406e-10,8.06494e-06
183,6.03613e-10,1.29002e-05
184,1.38708e-10,6.94067e-06
185,7.13109e-10,9.95369e-06
186,8.0871e-10,4.10337e-06
187,1.64992e-10,6.12407e-06
188,6.82765e-10,2.29188e-05
189,9.1985e-10,2.77818e-06
190,6.49518e-10,6.6752e-06
191,7.28933e-10,1.61021e-05
192,4.84537e-09,4.98271e-06
193,7.3299e-10,1.29914e-05
194,2.62642e-09,1.27228e-05
195,8.64737e-11,4.47091e-06
196,8.13684e-10,1.8329e-05
197,1.73694e-10,1.16881e-05
198,6.38533e-10,1.1592e-05
199,3.7127e-10,1.17785e-05
200,2.54442e-09,1.12119e-05
201,5.5188e-10,1.52573e-05
202,1.08225e-10,1.1894e-06
203,1.89157e-09,2.56548e-06
204,4.5675e-10,1.50668e-05
205,2.49296e-09,8.87063e-06
206,3.842e-10,5.07509e-06
207,2.37538e-10,3.67789e-06
208,5.31038e-10,6.36803e-06
209,3.81291e-10,1.09322e-05
210,3.44465e-09,7.23612e-06
211,5.16518e-10,7.07976e-06
212,3.65882e-09,1.13769e-05
213,6.89888e-10,1.24247e-05
214,1.42122e-09,7.09345e-06
215,9.85609e-10,2.32988e-05
216,1.02889e-09,1.61852e-05
217,1.38605e-09,4.47076e-06
218,6.96789e-10,1.281e-05
219,1.77664e-09,2.52787e-06
220,1.86339e-09,1.54361e-05
221,6.62086e-10,2.85327e-05
222,7.349e-10,2.73864e-05
223,8.93182e-10,1.10138e-05
224,5.63874e-10,1.33637e-05
225,4.35816e-10,1.43279e-05
226,1.73471e-09,4.4533e-06
227,3.60219e-10,8.52269e-06
228,8.79848e-10,1.38858e-05
229,2.30274e-10,1.5353e-05
230,4.03688e-09,1.80107e-05
231,5.04274e-09,7.56495e-06
232,9.93052e-10,1.77919e-05
233,4.07788e-10,1.11375e-05
234,1.37163e-10,3.4701e-06
235,1.45096e-10,6.0953e-06
236,9.28472e-10,7.82765e-06
237,5.9391e-10,3.45054e-06
238,5.06774e-10,4.90005e-06
239,4.06952e-10,1.18518e-05
240,4.21237e-10,1.13789e-05
241,7.68532e-10,2.64096e-06
242,2.02884e-09,7.85555e-06
243,6.80708e-10,6.42556e-06
244,2.16374e-09,8.29675e-06
245,9.78161e-10,2.00769e-05
246,7.53565e-11,2.33552e-06
247,1.02705e-09,1.27115e-05
248,5.85881e-09,1.45274e-05
249,1.13633e-09,9.5092e-06
250,2.05209e-10,5.44282e-06
251,1.31327e-09,1.80699e-05
252,1.08457e-09,2.60416e-06
253,4.30803e-10,2.03048e-05
254,6.81862e-10,5.08452e-06
255,1.10032e-10,2.27816e-06
256,1.1152e-09,1.16539e-06
257,2.17407e-09,7.59324e-06
258,1.09373e-09,6.35835e-06
259,4.61935e-09,8.06393e-06
260,1.36089e-09,9.154e-06
261,5.90685e-10,1.61675e-05
262,8.47823e-10,8.3547e-06
263,2.57032e-09,7.42176e-06
264,4.10113e-10,2.11459e-05
265,4.42683e-10,6.05393e-06
266,1.80953e-10,6.47134e-06
267,4.91036e-09,4.74199e-06
268,1.05444e-09,1.20211e-05
269,9.71491e-10,8.08005e-06
270,1.43927e-09,6.22314e-06
271,1.33487e-09,1.60581e-05
272,6.80493e-10,1.43574e-05
273,1.05214e-08,8.50694e-06
274,6.83965e-10,1.03025e-05
275,1.58676e-09,1.17484e-05
276,2.6599e-10,5.54441e-06
277,1.85311e-10,1.08978e-06
278,9.13072e-10,1.40814e-05
279,3.26542e-09,1.35693e-05
280,2.99269e-09,9.84965e-06
281,1.59562e-10,2.76886e-06
282,5.55533e-10,2.0608e-05
283,8.01518e-11,5.35791e-06
284,3.43025e-09,1.43512e-05
285,3.71026e-09,2.6435e-06
286,2.8541e-11,4.52991e-06
287,6.70481e-10,1.43547e-05
288,8.78344e-10,1.466e-05
289,6.02324e-10,8.00648e-06
290,2.70634e-10,3.24095e-06
291,3.02124e-10,1.366e-05
292,4.39753e-10,1.85603e-06
293,5.05917e-10,1.12523e-05
294,5.39797e-09,5.49731e-06
295,3.86354e-10,1.04892e-05
296,4.45523e-10,1.07202e-05
297,1.06756e-10,3.66274e-06
298,5.22758e-10,5.92834e-06
299,3.39774e-10,2.41244e-06
300,2.76874e-10,1.41136e-05
301,4.4478e-09,3.53264e-06
302,1.45491e-10,5.70152e-06
303,7.55e-09,9.12383e-06
304,7.88208e-10,2.65163e-05
305,3.66785e-10,1.17792e-05
306,3.43876e-10,1.84181e-05
307,1.59316e-09,3.00632e-06
308,1.18237e-09,8.02129e-06
309,3.69805e-10,2.15261e-05
310,2.23768e-09,2.69867e-06
311,7.93587e-10,5.11126e-06
312,7.74126e-10,8.09825e-06
313,1.17913e-09,6.11417e-06
314,1.0232e-09,1.38387e-05
315,5.9855e-10,5.39365e-06
316,1.27469e-10,1.03565e-05
317,1.01476e-09,1.01213e-05
318,1.73905e-10,1.31759e-05
319,1.63522e-08,8.70518e-06
320,2.02853e-09,9.3479e-06
321,9.453e-10,1.00569e-05
322,1.93203e-09,7.26912e-06
323,1.55669e-10,2.59799e-06
324,4.37549e-09,1.32338e-05
325,2.29447e-10,4.05919e-06
326,2.29165e-09,8.55322e-06
327,1.51396e-09,1.47658e-05
328,1.11226e-09,1.25437e-05
329,1.0718e-09,8.01186e-06
330,7.30398e-09,1.01667e-05
331,3.0637e-10,1.33955e-05
332,8.31353e-10,1.80564e-05
333,5.07322e-10,1.56024e-05
334,6.52463e-10,2.01641e-05
335,9.46065e-10,1.15105e-05
336,2.49149e-10,1.31467e-05
337,6.35524e-10,1.00638e-05
338,5.81807e-10,1.22851e-05
339,3.72411e-09,6.56215e-06
340,1.38174e-09,1.7394e-05
341,1.25381e-09,1.07477e-05
342,1.10491e-09,1.42303e-05
343,1.93216e-09,6.34355e-06
344,3.24334e-10,8.6563e-06
345,7.35647e-10,1.06632e-05
346,2.33563e-10,1.16271e-05
347,1.78651e-09,1.21298e-05
348,2.69406e-09,1.33285e-05
349,6.8414e-10,1.10538e-05
350,1.37359e-09,1.8069e-05
351,3.21341e-10,1.12517e-05
352,2.93521e-10,1.29604e-05
353,7.78541e-10,3.14401e-06
354,5.91624e-10,1.91019e-05
355,4.2938e-10,1.59908e-05
356,2.07587e-09,1.35024e-05
357,4.30344e-10,3.65454e-06
358,2.02681e-09,1.89587e-05
359,1.24968e-09,9.36834e-06
360,6.65746e-10,1.29598e-05
361,4.02215e-10,7.80018e-06
362,1.00317e-09,4.44093e-06
363,3.0693e-10,5.47646e-06
364,1.60078e-10,1.09801e-05
365,1.24874e-09,1.9784e-05
366,4.40763e-10,4.74765e-06
367,3.7619e-09,1.39632e-05
368,7.66979e-11,7.57893e-06
369,3.24974e-10,1.17881e-05
370,8.65692e-11,1.82133e-06
371,3.91964e-09,1.01781e-05
372,4.87066e-10,1.74313e-05
373,1.02732e-09,1.49465e-05
374,4.33617e-10,1.15427e-05
375,6.61714e-10,2.54738e-05
376,9.49942e-11,3.6479e-06
377,2.19431e-10,3.91438e-06
378,3.05476e-10,8.62117e-06
379,4.21625e-10,6.51602e-06
380,9.11421e-11,1.00424e-05
381,5.66905e-10,4.48226e-06
382,9.74865e-10,1.50941e-05
383,1.36342e-10,4.16053e-06
384,7.15678e-10,2.44419e-06
385,1.12075e-10,2.18874e-06
386,1.15521e-10,5.43259e-06
387,7.19012e-10,1.82482e-05
388,7.39569e-10,9.68968e-06
389,4.90063e-09,5.98231e-06
390,4.48073e-10,2.31083e-05
391,4.69608e-10,1.35957e-05
392,8.24212e-10,5.55857e-06
393,7.10557e-09,2.70326e-06
394,3.0807e-10,9.14506e-06
395,2.23653e-10,4.09062e-06
396,1.74798e-09,9.34587e-06
397,1.85959e-09,7.74612e-06
398,3.51596e-11,7.02565e-06
399,7.39621e-11,7.97389e-06
400,2.40406e-09,7.29968e-06
401,8.82347e-10,5.1154e-06
402,5.95916e-11,4.45598e-06
403,1.21958e-09,1.02734e-05
404,8.24495e-10,1.99063e-05
405,1.32139e-09,1.51962e-05
406,4.10213e-09,1.04381e-05
407,8.63211e-10,2.025e-05
408,5.66932e-10,1.04517e-05
409,1.02244e-09,9.56981e-06
410,1.87174e-10,2.83703e-06
411,4.80879e-09,4.58724e-06
412,5.62848e-10,1.8148e-05
413,1.11053e-09,1.2183e-05
414,6.21712e-10,1.87875e-05
415,3.46726e-09,6.37785e-06
416,9.48523e-10,1.29252e-05
417,5.58627e-10,4.39426e-06
418,4.2036e-10,8.25416e-06
419,1.49574e-10,1.3165e-05
420,3.7853e-10,8.42251e-06
421,7.07617e-10,1.01824e-05
422,8.49547e-09,1.66557e-05
423,5.17196e-10,1.75085e-05
424,2.28832e-09,7.97353e-06
425,1.1958e-09,6.8999e-06
426,7.39919e-10,2.09223e-05
427,1.43846e-09,8.56496e-06
428,3.37222e-11,1.7213e-06
429,9.22685e-10,5.20578e-06
430,4.63803e-10,9.07045e-06
431,7.39896e-10,1.95331e-05
432,1.0103e-10,5.9929e-06
433,1.91731e-10,6.12984e-06
434,7.94516e-09,1.02719e-05
435,4.47194e-10,4.51722e-06
436,7.91877e-10,5.82532e-06
437,6.32754e-10,1.35709e-05
438,2.71047e-09,5.51588e-06
439,3.51095e-09,9.65039e-06
440,6.39412e-10,7.27088e-06
441,9.89469e-11,4.64547e-06
442,8.49917e-10,1.41011e-05
443,4.36085e-10,4.0622e-06
444,3.87576e-10,5.11297e-06
445,2.14387e-09,1.00184e-05
446,3.31276e-10,7.93589e-06
447,4.00716e-09,3.41812e-06
448,1.09486e-10,4.32308e-06
449,1.50253e-09,8.88988e-06
450,8.62391e-10,1.14569e-05
451,7.42925e-09,4.15375e-06
452,9.64549e-10,1.13746e-06
453,9.10254e-10,1.0324e-05
454,5.84206e-10,4.72299e-06
455,5.53903e-10,3.48178e-06
456,8.57277e-10,5.7186e-06
457,5.37763e-10,5.8402e-06
458,2.0808e-10,2.50328e-06
459,5.94092e-10,2.02206e-05
460,9.87187e-10,1.24495e-05
461,9.88293e-10,9.16962e-06
462,8.24216e-10,8.99449e-06
463,3.13262e-09,9.22772e-06
464,4.24055e-10,1.19136e-05
465,3.89723e-10,1.10547e-05
466,1.01299e-10,7.76244e-06
467,5.94404e-11,2.24121e-06
468,8.05352e-10,6.55381e-06
469,1.28552e-10,2.22005e-06
470,2.53493e-10,1.02061e-05
471,7.84115e-10,1.12906e-05
472,1.91302e-09,7.30763e-06
473,6.07153e-11,3.38284e-06
474,3.27505e-10,6.41038e-06
475,2.7533e-10,7.06933e-06
476,2.44498e-09,1.39442e-05
477,1.01657e-09,1.22306e-05
478,2.26223e-10,5.21702e-06
479,3.92107e-10,9.5642e-06
480,9.84596e-10,3.63367e-06
481,1.05963e-09,1.07873e-05
482,7.43897e-10,2.34889e-05
483,2.32147e-09,9.72224e-06
484,8.08565e-10,1.18243e-05
485,8.15978e-10,1.41872e-05
486,3.6609e-10,7.42492e-06
487,6.93278e-10,1.99847e-05
488,2.67568e-09,1.78715e-05
489,3.38969e-09,1.02134e-05
490,3.13948e-09,1.12147e-05
491,2.48967e-10,3.25586e-06
492,1.27515e-09,1.9343e-05
493,5.66013e-10,7.88784e-06
494,3.4835e-10,1.22406e-05
495,9.12085e-09,4.78568e-06
496,1.45434e-09,1.26341e-05
497,1.23603e-09,8.3637e-06
498,3.83901e-11,3.99036e-06
499,1.52197e-08,1.1302e-05
500,1.11085e-09,1.11074e-05
